cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
alcachofa,2023,7,B,,,731.0,,4.276128590971273,0.0059933842761166495,24.576227965695217,9.570422931188329
alcachofa,2023,8,B,,,13862.0,,4.160496320877218,0.0028811690102011995,25.53867602564971,9.637504522840342
alcachofa,2023,9,B,,,12091.0,,4.16,0.0054668615984405,27.214289666811922,10.348455904937417
alcachofa,2023,10,B,,,5056.0,,4.16,0.0010604647354310998,28.768127396279702,11.397505622455661
alcachofa,2023,11,B,,,11917.0,,3.6800000000000006,0.00226729921410765,29.699171256039094,12.761856445020438
alcachofa,2023,12,B,,,2303.0,,3.3,0.008152268678215351,30.936590266283257,14.912426984240518
alfalfa,2020,1,B,,,10684.890000000001,,0.25563580907243777,0.0672821744716048,31.97127306004451,16.892591757252685
alfalfa,2020,2,B,,,11243.109999999999,,0.25680163228857494,0.06510014539852604,32.8914658459493,17.667667703696974
alfalfa,2020,3,B,,,11025.320000000002,,0.2716706181770688,0.0423774813895781,33.01318304507825,17.14057441741253
alfalfa,2020,4,B,,,11034.69,,0.27264635436065715,0.00244555424990205,31.55768280174722,14.813744153904292
alfalfa,2020,5,B,,,11133.92,,0.2699113699397876,0.0022125351157609,28.782242610184774,11.549609665921906
alfalfa,2020,6,B,,,10669.899000000001,,0.2684627942588772,0.0046049840933191505,25.625561616376636,9.91502079657103
alfalfa,2020,7,B,,,10732.109999999999,,0.2661710418547704,0.0059933842761166495,24.576227965695217,9.570422931188329
alfalfa,2020,8,B,,,11316.470000000001,,0.27002691652078786,0.0028811690102011995,25.53867602564971,9.637504522840342
alfalfa,2020,9,B,,,11068.74,,0.2712124957312214,0.0054668615984405,27.214289666811922,10.348455904937417
alfalfa,2020,10,B,,,12494.499999999998,,0.2608678058345672,0.0010604647354310998,28.768127396279702,11.397505622455661
alfalfa,2020,11,B,,,11862.209,,0.26167109515605397,0.00226729921410765,29.699171256039094,12.761856445020438
alfalfa,2020,12,B,,,11886.960000000001,,0.27631779698089337,0.008152268678215351,30.936590266283257,14.912426984240518
